Company Name,Ticker,P/E (Trailing 12 Months),Price/Book,Last Close,Shares Outstanding ,Market Cap ,Sector,Industry,Exchange,Last Qtr EPS,Annual Sales,Net Income ,Cash Ratio,Book Value,Long Term Debt ,Current Liabilities ,Current Assets ,Dividend ,5 Yr Hist. Div. Growth %,12 Mo Trailing EPS,S&P 500 - ETF
"United Rentals, Inc.","URI","16.9","4.87","179.09","84.43","15120.21","Construction","Building Products - Miscellaneous","NYSE","3.34","6641","1346",".27817","36.79","8717","1668","1772","0","","10.6","YES"
"U.S. Bancorp","USB","16.18","2.07","55.49","1651.9","91664.05","Finance","Banks - Major Regional","NYSE",".88","23996","6288",".0536","26.78","32259","363866","299566","1.15999","6.89669","3.43","YES"
"United Technologies Corporation","UTX","19.99","3.39","133.15","799.78","106490.44","Conglomerates","Diversified Operations","NYSE","1.6","59837","4552",".42564","39.29","24989","24391","32858","2.72","5.4804","6.66","YES"
"Visa Inc.","V","33.22","9.07","122.93","2060.54","253301.83","Business Services","Financial Transaction Services","NYSE","1.08","18358","6699","1.64788","13.55","16618","9994","19023",".66","18.75699","3.7","YES"
"Varian Medical Systems, Inc.","VAR","29.7","7.95","121.17","91.3","11062.82","Medical","Medical - Instruments","NYSE","1.06","2668.2","249.6",".59809","15.23","0","1550.09997","2190.30004","0","","4.08","YES"
"VF Corporation","VFC","24.59","8.05","75.75","395.15","29932.54","Consumer Discretionary","Textile - Apparel","NYSE","1.01","11811.18","614.91998",".46074","9.41","2187.78002","2745.19995","4392.12011","1.72","17.35899","3.08","YES"
"Viacom Inc.","VIAB","8.97","2.05","33.74","402.34","13574.99","Consumer Discretionary","Media Conglomerates","NSDQ","1.03","13263","1874",".50945","16.48","11100","3753","5801",".8","-8.73131","3.76","YES"
"Valero Energy Corporation","VLO","18.57","1.92","92.46","437.58","40458.74","Oils-Energy","Oil and Gas - Refining and Marketing","NYSE","1.16","93980","4065","","48.06","7886","8328","16800","2.79999","36.895","4.98","YES"
"Vulcan Materials Company","VMC","40.29","3.24","121.69","132.29","16097.76","Construction","Building Products - Concrete and Aggregates","NYSE",".74","3890.3","601.17999",".26163","37.56","2463.47998","792.86999","1180.09997","1","110.942","3.02","YES"
"Vornado Realty Trust","VNO","17.22","3.12","67.67","189.98","12856.22","Finance","REIT and Equity Trust - Other","NYSE",".34","2084.13","227.41",".20585","21.66","843.60998","9301.66015","2900.21997","2.61999","-3.7048","3.93","YES"
"Verisk Analytics, Inc.","VRSK","31.63","8.7","101.54","165.02","16756.23","Business Services","Business - Information Services","NSDQ",".81","2145.2","591.20001","","11.67","2280.19995","621.59997","500.89999","0","","3.21","YES"
"VeriSign, Inc.","VRSN","32.41","","117.64","97.12","11425.31","Computer and Technology","Internet - Software and Services","NSDQ",".96","1165.09","457.23999","","-12.98","1782.52001","1560.52001","2446.1499","0","","3.97","YES"
"Vertex Pharmaceuticals Incorporated","VRTX","210","20.62","165.9","253.89","42120.68","Medical","Medical - Biomedical and Genetics","NSDQ",".61","2488.65","263.48001","2.79437","8.04","20.48999","807.26","2648.95996","0","","1.94","YES"
"Ventas, Inc.","VTR","12.11","1.65","50.51","356.19","17990.96","Finance","REIT and Equity Trust - Other","NYSE",".5","3574.15","1356.46997",".14748","30.69","11276.05957","1276.51","1534.60998","3.115","2.9663","4.17","YES"
"Verizon Communications Inc.","VZ","12.88","4.41","48.29","4079","196974.91","Computer and Technology","Wireless National","NYSE",".86","126034","30101",".16302","10.95","113642","33037","29913","2.32249","2.91289","3.75","YES"
