Company Name,Ticker,Cash Ratio,Net Margin,Dividend ,5 Yr Hist. Div. Growth %,5 Yr Div. Yield %,Net Income Growth F(0)/F(-1),Cash Flow ,Net Income ,Pretax Income ,EBIT ,EBITDA ,Annual Sales,ROA (5 Yr Avg),Operating Margin 12 Mo,Inventory Turnover,Asset Utilization,Current Ratio,Debt/Equity Ratio,Debt/Total Capital,Book Value,Common Equity,Preferred Equity,Long Term Debt ,Current Liabilities ,Current Assets ,Intangibles,Inventory ,Receivables ,Current ROA (TTM),ROI (5 Yr Avg),Price as a % of 52 Wk H-L Range,52 Week Low,Last Close,Shares Outstanding ,Industry,Sector,Exchange,Div. Yield %,P/E (F1),Market Cap ,52 Week High,Beta,Last Qtr EPS,Last Reported Qtr ,Current ROI (TTM),Current ROE (TTM),Price/Book,PEG Ratio,P/E (Trailing 12 Months),5 Yr Historical Sales Growth,Sales Growth F(0)/F(-1),This Yr`s Est.d Growth (F(1)/F(0)),5 Yr. Hist. EPS Growth,12 Mo Trailing EPS,Last Reported Fiscal Yr ,S&P 500 - ETF
"Arthur J. Gallagher & Co.","AJG",".61343",".08","1.55999","2.8886","3.04","11.75193","943.59997","463.1","378.1","502.20001","888","6159.6","4.34749","11.63","",".48412","1.1",".61","37.851","25.15","4164.8999","0","2691.8999","4912.2998","5170.60009","5842.5","0","2157.19995","5.63","8.55329","67.8","54.96","66.94","182.27","Insurance - Brokerage","Finance","NYSE","2.45","19.38","12201.36","72.63","1.13","1.52","20180301","11.05","18.19","2.65","1.64","16.01","17.66","10.1","12.89","11.57","4.18","20171231","YES"
"Akamai Technologies, Inc.","AKAM","1.83175",".09","0","","0","-30.93981","720.40399","218.32","316.11999","334.95001","726.09997","2503","8.9713","12.99","",".56047","1.29","0","0","19.85","3310.71997","0","662.90997","463.89999","1308.86999","1699.93994","0","459.11999","7.28","10.11499","96.26","44.91","76.09","170.63","Internet - Services","Computer and Technology","NSDQ","0","23.26","12983.26","77.3",".63",".79","20180301","8.74","10.04","3.82","1.62","27.97","12.03","6.96","24.87","4.61","2.72","20171231","YES"
"Albemarle Corporation","ALB","1.09292",".02","1.27999","6.59619","1.61","-91.47856","712.52801","54.84999","446.79","562.14001","759.05999","3071.98","7.0865","17.08","3.3038",".42114","2.48",".36","26.70599","35.6","3817.68994","0","1415.35998","1200.92004","2477.56005","2031.84997","592.78002","572.26","7.19","9.77649","28.48","88.96","104.8","110.76","Chemical - Diversified ","Basic Materials","NYSE","1.28","20","11607.99","144.58","1.67","1.3","20180301","10.14","13.8","2.94","1.23","21.61","4.16","14.75","14.14",".63","4.85","20171231","YES"
"Align Technology, Inc.","ALGN","1.61206",".16","0","","0","22.00021","355.74798","231.41","364.79","364.79","402.51998","1473.41","15.744","21.53","11.21",".93988","2.26","0","0","14.07","1150.36999","0","0","497.80999","1157","89.05999","31.68","322.82","20.24","21.399","100","136.08","292.72","80.15","Medical - Dental Supplies","Medical","NSDQ","0","62.5","23461.4","292.72","1.48","1.17","20180301","30.36","30.36","20.81","2.14","69.36","21.09","36.44","20.39","24.79","4.22","20171231","YES"
"Alaska Air Group, Inc.","ALK",".6474",".13","1.2","32.47999","1.22","27.02702","1195","1034","1207","1310","1682","7933","9.53629","8.86","56.06999",".74485",".71",".6","37.484","27.9","3721","0","2262","2700","2146","2076","57","341","6.6","20.27599","2.3","57.75","58.6","123.26","Transportation - Airline","Transportation","NYSE","2.18","11.08","7222.97","94.63",".75",".14","20180301","12.32","20.43","2.1","1.71","10.24","9.58","33.75","-20.36","31.87","5.72","20171231","YES"
"The Allstate Corporation","ALL",".03524",".08","1.48","10.83699","1.84","69.89877","3191","3189","3991","4326","4934","38524","2.06119","7.67","",".34525",".27",".33","22.729","59.67","20805","1746","6350","72656","17837","2181","0","15276","2.65","8.5885","52.31","84.13","95","351.49","Insurance - Property and Casualty","Finance","NYSE","1.94","10.72","33391.44","104.91",".94","2.96","20180301","10.34","14.56","1.59","1.29","11.83","2.5","5.45","32.07","5.61","8.03","20171231","YES"
"Allegion PLC","ALLE","1.07703",".11",".63999","25.50399",".65","19.29287","446.89999","273.29998","395.70001","501.39999","568.29998","2408.2","15.463","15.65","5.45249",".99377","1.78","3.2","76.17299","4.86","405.5","0","1442.30004","460.79998","1032.69995","1155.5","239.8","296.6","15.55","23.16099","13.91","74.82","76.87","94.96","Security and Safety Services","Industrial Products","NYSE","1.09","17.17","7299.53","89.56","1.07",".8","20180301","21.4","102.62","15.83","1.34","19.03","3.65","7.61","13.07","16.7","4.04","20171231","YES"
"Alexion Pharmaceuticals, Inc.","ALXN","1.85511",".12","0","","0","10.99148","1794.92004","443.29998","547.79998","646.20001","1261.69995","3551.1","13.652","33.98","1.07879",".26484","3.35",".33","24.947","40.96","8893.0996","0","3063.60009","952.5","2953.8999","8991.7998","460.39999","726.5","9","16.34","47.87","97.7","121.15","222.5","Medical - Biomedical and Genetics","Medical","NSDQ","0","17.23","26955.96","146.69","1.11","1.68","20180301","10.21","13.7","2.96",".97","19.67","22.65","15.15","19.97","12.22","6.16","20171231","YES"
"Applied Materials, Inc.","AMAT","1.85905",".24",".4",".60389","1.72","99.53515","3932","3434","3731","3929","4336","14537","12.18099","26.33","2.93099",".85027","2.96","","38.41099","8.1","9349","0","5304","4115","12918","3780","2930","2338","22.39","16.42399","62.86","41.01","53.96","1050.69","Semiconductor Equipment - Wafer Fabrication","Computer and Technology","NSDQ",".74","12.24","56695.07","61.61","1.65","1.22","20180401","30.65","49","6.67",".92","13.26","15.29","34.29","35.59","47.12","4.07","20171031","YES"
"Advanced Micro Devices, Inc.","AMD",".99798",".01","0","","0","108.6519","262","43","69","195","375","5329","-4.33471","3.87","4.87629","1.68089","1.62","1.63","61.96799",".74","611","0","1325","1486","2622","289","739","400","6.51","-7.85971","62.91","9.53","12.82","969.34","Electronics - Semiconductors","Computer and Technology","NSDQ","0","28.11","12426.99","14.76","2.84",".11","20180301","12.4","41.01","17.38","3.63","41.35","-2.18","24.74","168.24","",".31","20171231","YES"
