Company Name,Ticker,Cash Ratio,Net Margin,Dividend ,5 Yr Hist. Div. Growth %,5 Yr Div. Yield %,Net Income Growth F(0)/F(-1),Cash Flow ,Net Income ,Pretax Income ,EBIT ,EBITDA ,Annual Sales,ROA (5 Yr Avg),Operating Margin 12 Mo,Inventory Turnover,Asset Utilization,Current Ratio,Debt/Equity Ratio,Debt/Total Capital,Book Value,Common Equity,Preferred Equity,Long Term Debt ,Current Liabilities ,Current Assets ,Intangibles,Inventory ,Receivables ,Current ROA (TTM),ROI (5 Yr Avg),Price as a % of 52 Wk H-L Range,52 Week Low,Last Close,Shares Outstanding ,Industry,Sector,Exchange,Div. Yield %,P/E (F1),Market Cap ,52 Week High,Beta,Last Qtr EPS,Last Reported Qtr ,Current ROI (TTM),Current ROE (TTM),Price/Book,PEG Ratio,P/E (Trailing 12 Months),5 Yr Historical Sales Growth,Sales Growth F(0)/F(-1),This Yr`s Est.d Growth (F(1)/F(0)),5 Yr. Hist. EPS Growth,12 Mo Trailing EPS,Last Reported Fiscal Yr ,S&P 500 - ETF
"Red Hat, Inc.","RHT","1.00988",".09","0","","0","2.01024","543.00799","258.79998","474.70001","499.26","627.20001","2920.46","6.74779","14.1","",".60285","1.36",".51","33.60699","8.31","1470.22998","0","744.19","2305.44995","3134.98999","1513.78002","0","806.73999","8.5","13.39299","86.9","85.52","161.08","177.67","Computer - Software","Computer and Technology","NYSE","0","47.32","28619.56","172.47","1.07",".91","20180201","19.1","29.36","19.39","2.96","54.24","16.69","21.09","14.24","17.46","2.97","20180228","YES"
"Raymond James Financial, Inc.","RJF",".95828",".1",".87999","11.32499","1.27","20.1908","824.66699","636.22998","927.96997","1081.73999","1138.30004","6524.88","2.05119","12.6",".07234",".1999","1.12",".41","28.856","41.42","5693.35009","0","3419.81005","25770.28906","29820.42968","493.17999","564.26","4560.83007","2.52","8.2839","99.67","71.78","98.66","145.86","Financial - Investment Bank","Finance","NYSE","1.01","14.51","14390.73","98.75","1.62","1.63","20180301","10.21","15.36","2.38",".85","16.53","9.01","18.2","30.02","14.77","5.97","20170930","YES"
"Ralph Lauren Corporation","RL","","","2","4.2465","1.66","-125.05046","784.40002","-99.30001","-104.90001","-92.5","215","6652.8","10.328","7.99","3.05999","1.0498","2.07","","7.85059","41.91","3299.60009","0","588.20001","1159.90002","2954.5","1124.40002","791.5","529.59997","8.39","14.97299","90.05","66.11","113.62","81.29","Textile - Apparel","Consumer Discretionary","NYSE","1.76","18.55","9236.06","118.87",".63","2.03","20171201","12.96","14.64","2.71","1.82","18.87","-2.03","-10.16","2.38","-8.95","6.02","20180331","YES"
"ResMed Inc.","RMD","2.56903",".17","1.32","10.87699","1.92","-2.87174","513.42498","342.27999","418.73999","446.97","559.11999","2066.74","14.375","21.12","3.2934",".64689","3.48",".39","28.155","14.48","1960.26","0","1078.60998","360.11999","1644","1326.67004","268.30999","450.52999","13.66","17.263","96.07","67.5","101.43","142.74","Medical - Products","Medical","NYSE","1.38","28.75","14477.95","102.82",".91",".92","20180301","17.45","23.72","7","","30.28","9.16","12.4","25.09","6.76","3.35","20170630","YES"
"Rockwell Automation, Inc.","ROK","1.27062",".13","3.03999","10.027","2.16","13.15609","1047.59997","825.70001","1037.40002","1113.59997","1282.5","6311.3","13.229","14.57","6.618",".92756","2.1",".63","38.70899","15.51","2663.60009","0","1243.40002","2145.80004","4420.70019","1315.69995","558.70001","1135.5","13.52","24.103","48.01","153.74","179.75","125.58","Industrial Automation and Robotics","Industrial Products","NYSE","2.05","22.8","22573.08","207.92","1.28","1.89","20180301","27.27","42.38","11.59","1.81","24.62","-1.1","7.34","16.61","3.5","7.3","20170930","YES"
"Roper Technologies, Inc.","ROP",".37901",".21","1.39999","20.80699",".59","47.5419","1327.06701","971.77001","1034.71997","1215.28002","1567.46997","4607.47","6.9958","21.76","8.55099",".33235",".73",".53","34.80899","69.36","6863.56005","0","4354.60986","2029.40002","1759.40002","12295.53027","204.92999","785.28997","7.23","8.6428","79.28","219.35","275.25","103.16","Manufacturing - General Industrial ","Industrial Products","NYSE",".6","24.7","28394.88","289.86","1.06","2.61","20180301","9.13","15.41","3.97","2","27.77","7.76","21.57","18.28","10.63","9.91","20171231","YES"
"Ross Stores, Inc.","ROST",".73793",".1",".63999","16.25699",".95","21.92993","1595.19995","1362.75","2040.71997","2048.38989","2361.55004","14134.73","21.39599","9.08","6.00899","2.50659","1.64","","9.2819","7.98","3049.30004","0","311.98999","1926.40002","3151.1499","0","1641.72998","87.86","22.75","38.198","93.74","53.03","83.43","378.63","Retail - Discount Stores","Retail-Wholesale","NSDQ","1.08","20.71","31589.32","85.46","1.06",".98","20180101","39.39","44.53","10.46","2.07","24.98","7.64","9.85","20.61","12.96","3.34","20180131","YES"
"Range Resources Corporation","RRC",".07817",".13",".07999","-18.64801",".31","163.89581","837.04699","333.14001","82.12","277.79","971.90002","2611.03",".23115","9.64","54.743",".22064",".5",".7","41.16199","23.41","5774.27001","0","4108.7998","755.46997","429.23001","1641.18994","21.34","348.82998","2.13",".32892","23.05","12.71","15.67","249.24","Oil and Gas - Exploration and Production - United States","Oils-Energy","NYSE",".51","16.3","3905.55","25.55",".56",".46","20180301","2.56","4.36",".67","1.01","19.83","-1.28","137.38","65.78","-19",".79","20171231","YES"
"Republic Services, Inc.","RSG",".12558",".13","1.33","7.491","2.58","108.68431","1938.30004","1278.40002","1282.09997","1644","2760.10009","10041.5","3.62969","8.74","",".48001",".53",".95","48.65499","24.13","7961.10009","0","7480.70019","2634.80004","1436.80004","11456.5","0","1105.90002","4.2","4.8997","66.58","61.25","66.61","327.93","Waste Removal Services","Business Services","NYSE","2.07","21.72","21843.37","69.3",".54",".74","20180301","5.83","11.29","2.76","1.95","25.33","4.23","6.96","26.2","6.71","2.63","20171231","YES"
"Raytheon Company","RTN","1.28034",".08","2.39249","8.835","2.29","-9.80393","2770.15209","2024","3113","3318","3868","25348","7.4709","9.27","30.68899",".84077","1.62",".46","33.86999","35.64","9963","0","4750","7348","11326","14871","594","1324","7.8","13.635","75.28","157.3","210.62","287.25","Aerospace - Defense Equipment","Aerospace","NYSE","1.65","21.41","60500.6","228.13",".7","2.2","20180301","15.17","22.69","5.91","1.86","25.75","1.51","5.31","29.12","4.34","8.18","20171231","YES"
"SBA Communications Corporation","SBAC",".60544",".06","0","","0","35.97008","784.427","103.65","116.88999","443.51","1108.55004","1727.67",".27412","6.4","",".24034","1.21","-3.62","","-22.47","-2599.11011","0","9290.67968","278.89999","259.52999","3598.12988","0","90.66999","1.54",".31242","60.55","131.08","157.51","115.18","REIT and Equity Trust - Other","Finance","NSDQ","0","171.21","18142.79","174.73",".86",".27","20180301","1.78","-4.79","","17.12","165.8","7.17","5.79","-7.07","58.26",".95","20171231","YES"
"Starbucks Corporation","SBUX",".72239",".13","1","24.45899","1.48","2.37782","4083.33496","2884.69995","4317.5","4410","5477.10009","22386.8","19.73699","14","7.11289","1.4449","1.09","1.31","56.729","3.42","5457","0","3932.60009","4220.70019","5283.3999","1980.59997","1364","870.40002","20.23","30.52799","37.91","52.7","57.2","1380","Retail - Restaurants","Retail-Wholesale","NSDQ","2.1","22.99","78936","64.57",".63",".53","20180301","32.53","60.33","16.73","1.64","25.09","11.19","5.02","20.77","17.86","2.28","20170930","YES"
"SCANA Corporation","SCG",".27401","-.03","2.44749","4.6946","4.01","-120","1051","-119","-231","132","582","4407","3.25349","13.59","9.31029",".23115",".82","1.12","52.89599","37.47","5255","0","5906","2113","1851","0","304","968","3.14","4.94549","0","34.02","34.02","142.63","Utility - Electric Power","Utilities","NYSE","7.2","11.6","4852.21","71.22",".2","1.18","20180301","5.1","10.8",".91","3.31","8.1","-2.27","4.26","-30.18","4.61","4.2","20171231","YES"
"The Charles Schwab Corporation","SCHW",".13343",".27",".31999","9.1308",".86","24.61619","3011","2354","3650","3650","4261","8618",".88304","29.31","0",".0379",".29",".25","17.597","12.26","15732","2793","4753","219996","67598","1335","539","37703","1.11","9.8287","99.34","38.11","59.32","1349.19","Financial - Investment Bank","Finance","NYSE",".67","24.4","80033.66","59.46","1.56",".55","20180301","11.77","16.84","4.83","2.12","32.96","12.11","15.24","48.24","20.08","1.8","20171231","YES"
"Sealed Air Corporation","SEE",".45849",".18",".63999","6.17829","1.42","67.53701","491.89999","814.90002","393.29998","595.09997","744.40002","4461.6","5.27099","7.53","5.77489",".76363","1.17","-8.9","95.498","-2.26","152.3","0","3230.5","1378.19995","1866.40002","2023.40002","506.79998","727.70001","5.75","8.35","28.69","41.12","43.57","161.16","Containers - Paper and Packaging","Industrial Products","NYSE","1.47","17.53","7021.69","49.66","1.15",".51","20180301","9.56","154.85","","1.51","22.93","-10.19","-34.18","37.29","13.84","1.9","20171231","YES"
"The Sherwin-Williams Company","SHW",".14043",".12","3.4","14.94699","1.05","56.46332","1911.37402","1772.26","1528.20996","1791.68005","2348.69995","14983.79","14.118","9.29","4.92379",".79133","1.13","2.68","72.829","39.45","3692.17993","0","9885.74023","3987.17993","4465.83984","12816.70996","1801.36999","2104.55004","7.35","31.305","49.59","328.47","380.23","93.55","Paints and Related Products","Construction","NYSE",".9","20.25","35568.88","432.84","1.17","3.57","20180301","11.32","48.06","9.64","1.7","24.08","8.19","26.39","31.58","18.05","15.79","20171231","YES"
"SVB Financial Group","SIVB",".06454",".24","0","","0","28.17497","475.026","490.5","874.64001","910.72998","857.65002","2022.37",".89402","28.62","",".04261",".59",".42","29.43899","86.07","4319.41015","0","695.48999","45287.80078","26650.60937","0","0","23727.53906","1.22","7.7649","100","160.72","323.36","52.97","Banks - West","Finance","NSDQ","0","20.33","17129.65","323.36","1.41","3.63","20180301","11.72","14.53","3.75","1.85","27.8","9.43","22.57","60.52","18.57","11.63","20171231","YES"
"The J. M. Smucker Company","SJM","","","3.08999","8.6772","2.3","-13.99739","1314.90002","592.29998","878.40002","1041.5","1460.5","7392.3","5.57999","12.11","4.79769",".47242","1.48","","37.52999","68.7","6850.20019","0","4445.5","1832.59997","1641.80004","12227","905.70001","438.70001","5.72","7.31139","35.92","99.99","111.32","113.6","Food - Miscellaneous","Consumer Staples","NYSE","2.8","12.13","12645.85","131.53",".62","2.5","20180101","7.67","12.46","1.62","1.43","14.22","7.98","-5.36","11.24","9.06","7.83","20180430","YES"
"Schlumberger Limited","SLB",".41663","-.05","2","10.399","2.27","10.78838","5922","-1505","-1183","-617","3220","30440","6.56869","7.21","6.46719",".42994","1.11",".36","26.599","26.95","37261","0","14875","15282","18497","35199","4046","8084","3.1","8.85879","71","61.31","74.43","1384.95","Oil and Gas - Field Services","Oils-Energy","NYSE","2.69","36.26","103081.8","79.79","1.05",".38","20180301","4.2","5.85","2.76","6.04","45.66","-12.18","9.46","36.86","-31.23","1.63","20171231","YES"
"SL Green Realty Corporation","SLG",".08299",".07","3.1375","18.482","2.36","-56.81462","521.18402","112.76999","27.81999","284.85998","704.66998","1511.47","1.43359","13.36","",".09939","2.72",".8","42.763","76.81","6829.47998","523.65997","3060.68994","3012.56005","330.70001","0","0","80.68","1.33","2.2592","22.35","90.61","94.57","88.42","REIT and Equity Trust - Other","Finance","NYSE","3.44","14.01","8362.14","108.33","1.05","1.66","20180301","1.73","2.72","1.26","2.33","14.48","2.51","-18.91","4.68","8.02","6.53","20171231","YES"
"Snap-On Incorporated","SNA",".59339",".15","2.95","17.24699","1.6","2.06807","686.29998","557.70001","821.90002","874.29998","967.5","3686.9","10.574","16.41","2.9384",".71522","2.28",".31","23.374","54.82","2972.30004","0","753.59997","1193.30004","2119.30004","1177.80004","638.79998","772.40002","11.74","14.60799","24.43","141.51","151.83","56.6","Tools - Handheld","Consumer Discretionary","NYSE","2.16","13.05","8592.85","183.76","1.16","2.79","20180301","16.24","20.63","2.77","1.26","14.42","4.27","7.48","15.01","14.38","10.53","20171231","YES"
"Synopsys, Inc.","SNPS",".73303",".05","0","","0","-48.81944","326.00299","136.55999","383.08999","383.08999","572.53002","2724.88","6.94019","7.82","",".51061",".68","","4.01149","21.12","3279.71997","0","134.05999","1614.09997","1682.58996","2960.81005","0","499.39999","3.99","10.75699","80.04","70.93","88.9","148.73","Computer - Software","Computer and Technology","NSDQ","0","23.88","13221.66","93.38","1.1","1.1","20180101","6.46","6.72","4.21","2.39","24.76","8.75","12.48","8.85","-3.63","3.59","20171031","YES"
"Southern Company (The)","SO",".36582",".04","2.29999","3.24279","4.66","-64.70117","6474","880","1068","2762","6219","23031","3.4091","13.78","6.5123",".21407",".7","1.71","62.78099","25.73","24167","1685","44462","13594","10072","7141","2032","3067","2.95","5.46929","6.78","42.92","43.62","1011.63","Utility - Electric Power","Utilities","NYSE","5.32","15.07","44127.07","53.25",".01",".88","20180301","4.64","12.97","1.7","3.35","13.46","6.61","15.76","-4.18","2.1","3.24","20171231","YES"
"Simon Property Group, Inc.","SPG","1.16791",".35","7.15","11.619","3.44","5.93129","3414.15698","1947.95996","1864.31994","2673.70996","4031.06005","5538.64","5.3986","37.36","",".17857",".89","5.93","85.535","12.46","4195.68994","43.06999","24632.46093","1269.18994","2224.97998","0","0","742.66998","6.67","5.9425","27.02","146.74","153.68","320.34","REIT and Equity Trust - Retail","Finance","NYSE","5.08","12.78","49229.23","172.42",".55","2.87","20180301","7.42","50.24","12.34","2.08","13.54","2.14","1.9","7.23","6.76","11.35","20171231","YES"
"S&P Global Inc.","SPGI",".93497",".25","1.63999","10.87699","1.37","-28.96487","1964","1496","2461","2610","2790","6063","17.38599","30.28","",".69754","1.05","46.62","98.51799",".27","768","0","3170","3214","4324","4377","0","1319","21.13","33.644","95.36","136.56","197.66","251.3","Business - Information Services","Business Services","NYSE","1.01","23.19","49671.96","200.63","1.36","2","20180301","35.23","267.1","730.47","1.59","27.15","4.34","7.1","23.7","17.57","7.28","20171231","YES"
"Stericycle, Inc.","SRCL",".19527",".01","0","","0","-79.44741","642.90002","42.4","-107.90001","-13.9","235.6","3580.7","7.3772","11.28","",".51083",".81",".88","46.69699","34.5","2908.60009","0","2615.30004","969.40002","813.40002","5395.5","0","624.09997","5.76","9.31789","24.78","57.11","63.82","85.58","Waste Removal Services","Business Services","NSDQ","0","13.79","5461.49","84.19",".39","1.21","20180301","7.34","14.14","1.85","1.43","14.31","15.02",".52","6.61","4.34","4.46","20171231","YES"
"Sempra Energy","SRE",".19638",".02","3.28999","7.2403","2.8","-81.25457","2858","257","1585","2244","3734","11207","2.95609","11.69","24.465",".2117",".37","1.26","53.26499","62.82","15120","20","16445","6635","3341","2993","307","1731","2.47","4.7936","0","102.18","102.18","264.14","Utility - Gas Distribution","Utilities","NYSE","3.5","18.64","26989.61","122.23",".48","1.43","20180301","3.96","8.3","1.57","2.11","20",".37","10.06","1.15","4.16","5.11","20171231","YES"
"SunTrust Banks, Inc.","STI",".07195",".23","1.32","31.527","1.97","21.03301","2792.15991","2273","2814","3164","3891","9741",".97102","23.01",".17621",".04757",".93",".48","30.583","47.85","22679","2475","9785","166844","155741","8122","2290","141446","1.09","5.45889","83.11","52.3","69.38","464.83","Banks - Major Regional","Finance","NYSE","2.31","13.13","32249.67","72.85","1.33","1.29","20180301","6.43","10.05","1.46","1.02","15.52","1.33","6.33","30.79","7.16","4.47","20171231","YES"
"State Street Corporation","STT",".36025",".18","1.6","11.569","1.79","1.58656","3532","2177","2899","3340","4425","11813",".8963","22.57","",".05009",".56",".57","32.82199","52.55","19121","3196","11620","204488","100007","7635","0","26339","1.13","7.08099","65.13","79.82","101.24","365.41","Banks - Major Regional","Finance","NYSE","1.66","13.01","36993.91","112.71","1.32","1.62","20180301","8.05","14.23","1.94","1.3","14.82","2.35","11.08","30.59","7.32","6.83","20171231","YES"
"Seagate Technology PLC","STX","1.0891",".07","2.51999","12.44499","5.26","211.29032","1981","772","815","1037","1786","10771","15.04899","12.33","7.6062","1.1955","1.72","3.17","75.999","4.75","1364","0","5021","2626","5041","1519","982","1199","14.74","22.016","90.08","30.95","59.02","287.06","Computer- Storage Devices","Computer and Technology","NSDQ","4.27","11.05","16942.41","62.11","1.69","1.46","20180301","22.39","105.43","12.42",".58","12.97","-7.49","-3.49","29.61","-8.33","4.55","20170630","YES"
"Constellation Brands Inc","STZ",".31562",".28","2.07999","56.01399",".53","51.05855","2043.40002","2318.8999","2342.69995","2674.69995","2968.5","8326.8","6.6518","21.01","1.8565",".42148","1.79","1.17","53.875","42.15","8062.70019","0","9417.5996","1944.69995","3474","11387.90039","2084","776.20001","8.86","8.18859","78.21","178.83","222.15","191.39","Beverages - Alcohol","Consumer Staples","NYSE","1.33","22.95","42517.29","234.22",".09","1.9","20180201","10.76","22.28","5.27","1.25","25.5","17.11","3.29","10.98","30.38","8.71","20180228","YES"
"Stanley Black & Decker, Inc.","SWK",".20904",".1","2.42","5.5401","2.06","27.00714","1596.19995","1226","1526.09997","1748.69995","2209.3999","12747.2","5.57789","8.77","3.78299",".67571","1.06",".37","25.09099","49.85","7549.8999","750","2843","4361.7998","4566.10009","12283.5","2018.40002","1635.90002","5.93","9.02869","21.03","134.44","143.16","154.31","Manufacturing - Tools & Related Products","Industrial Products","NYSE","1.76","17","22090.98","175.91","1.02","1.39","20180301","10.08","15.65","2.87","1.67","19.01","2.79","11.75","13.03","9.38","7.53","20171231","YES"
"Skyworks Solutions, Inc.","SWKS","4.34519",".28","1.15999","36.324",".88","1.50723","1371.40002","1010.20001","1257","1257","1511.80004","3651.4","23.20899","31.4","4.0036",".84522","8.83","0","0","22.35","4065.69995","0","0","387.89999","2633.69995","950.79998","493.5","454.70001","26.54","26.183","43.79","86.76","99.71","182.07","Semiconductors - Radio Frequency","Computer and Technology","NSDQ","1.28","13.98","18154.66","116.33",".66","1.64","20180301","30.35","30.35","4.46","1.11","14.18","18.85","11.02","10.56","33.78","7.03","20170930","YES"
"Synchrony Financial","SYF",".1909",".12",".56","",".76","-14.03821","2349","1935","3324","3867","4121","16695","3.66589","13.31","",".17916","1.41","1.46","59.41299","19.02","14234","0","20799","60775","87975","1740","0","76373","2.38","8.1457","61.49","26.5","34.93","754.76","Financial - Miscellaneous Services","Finance","NYSE","1.72","10.36","26363.65","40.21","1.13",".83","20180301","6.4","15.6","1.84","1.15","12.3","8.63","10.4","28.7","-1.4","2.84","20171231","YES"
"Stryker Corporation","SYK",".95552",".08","1.745","12.14099","1.4","-38.06922","3107","1020","2063","2063","2705","12444","11.149","19.98","1.7781",".58456","1.64",".64","39.094","24.68","9980","0","6590","3485","7993","10645","2465","2198","11.68","14.928","98.69","133.54","171.26","373.71","Medical - Products","Medical","NYSE","1.1","23.72","64001.73","171.76",".7","1.68","20180301","15.56","25.65","6.94","2.43","25.6","8.18","9.88","11.24","11.23","6.69","20171231","YES"
"Symantec Corporation","SYMC","",".24",".3","-18.137","2.04","1196.22644","1365.98999","1162","441","697","1425","4846","6.4706","14.19","",".30476","1.11",".99","49.851","8.13","5056","0","5026","3153","3494","10962","0","809","4.32","11.09899","19.13","19.52","22.32","621.54","Computer - Software","Computer and Technology","NSDQ","1.34","13.91","13872.74","34.16",".86",".46","20180301","6.9","16.24","2.74","1.68","13.29","-12.12","20.58","-5.09","-21.26","1.68","20180331","YES"
"Sysco Corporation","SYY",".16547",".02",".97","4.2062","2.87","20.31128","2295.76098","1142.5","1766.22998","2069.10009","3002.93994","55371.14","8.10429","2.57","14.878","3.1679","1.44","3.76","79.049","4.51","2381.51","0","7660.87011","6095.87988","8033.43017","4953.62988","2995.59008","4029.1499","8.14","13.307","98.27","49.11","63.86","520.99","Food - Miscellaneous","Consumer Staples","NYSE","2.25","21.54","33270.32","64.12",".55",".67","20180301","13.91","64.33","14.15","2.05","22.89","5.61","9.94","19.53","6.58","2.79","20170630","YES"
"AT&T Inc.","T",".76944",".18","1.96","2.15599","5.2","126.95745","43209","29450","15139","21439","45826","160546","4.478","12.29","",".36287","1.11",".91","47.623","23.96","142007","0","125972","81389","79146","219725","0","16522","4.46","7.60729","6.54","31.4","31.93","6139","Wireless National","Computer and Technology","NYSE","6.26","9.33","196018.27","39.51",".4",".85","20180301","7.19","14.46","1.33","2.25","10.1","6.74","-1.98","12.21","5.56","3.16","20171231","YES"
"Molson Coors Brewing  Company","TAP",".2048",".1","1.63999","5.16529","2.04","-29.04165","1804.59997","1414.19995","1381.69995","1731","2567","13471.5","4.4018","6.6","10.10099",".44299",".52",".7","41.081","63.34","13435","0","10598.70019","3399.30004","2189.69995","22702","591.5","902","2.93","5.75699","2.3","59.4","60.26","215.71","Beverages - Alcohol","Consumer Staples","NYSE","2.72","12.31","12998.93","96.86",".81",".48","20180301","3.77","6.81",".95","1.54","14.7","16.64","104.19","9.49","-1.46","4.1","20171231","YES"
"Transdigm Group Incorporated","TDG",".88032",".17","0","","0","1.78544","829.10101","596.88","837.42999","1440.01","1602.14001","3504.29","6.4078","19.31","2.06459",".35418","3.04","-4.92","","-44.05","-2951.19996","0","11393.62011","870.98999","2133.55004","7463.20019","730.67999","636.11999","6.84","7.46379","87.75","242.81","324.33","52.43","Aerospace - Defense Equipment","Aerospace","NYSE","0","18.39","17004.76","335.71",".79","3.79","20180301","7.93","-28.61","","1.61","24.59","15.71","10.5","42.47","23.8","13.19","20170930","YES"
"TE Connectivity Ltd.","TEL",".47387",".13","1.53999","12.06499","1.98","-16.22698","2365","1683","1928","2058","2693","13113","8.3254","13.45","4.905",".73954","1.43",".35","26.024","27.08","9751","0","3634","3847","5926","7492","1813","2290","9.95","13.30399","67.61","73.89","95.43","350.14","Electronics - Miscellaneous Components","Computer and Technology","NYSE","1.68","17.15","33413.77","105.75","1.08","1.42","20180301","14.71","19.89","3.52","1.57","17.97","-1.03","7.15","15.23","9.85","5.31","20170930","YES"
"Target Corporation","TGT",".29596",".04","2.44","11.68599","3.16","7.19766","5036","2934","3646","4312","6757","71879","6.65579","3.6","5.7628","1.86349",".95","","49.14899","21.54","11709","0","11317","13201","12564","0","8657","0","6.71","10.68","90.32","50.18","75.83","535.93","Retail - Discount Stores","Retail-Wholesale","NYSE","3.27","14.34","40639.28","78.58",".71","1.37","20180101","11.57","23.04","3.52","2.74","16.07","-1.15","3.43","12.24","3.87","4.72","20180131","YES"
"Tiffany & Co.","TIF","2.0676",".09","1.95","9.66069","1.93","-17.03654","715","370.1","760.5","802.5","1001.20001","4169.8","9.85789","12.38",".69442",".78832","5.5","","21.37199","26.14","3248.19995","0","882.90002","724.79998","3983.30004","0","2253.5","231.19999","9.76","13.326","77.06","85.03","104.18","124.28","Retail - Jewelry","Retail-Wholesale","NYSE","1.92","23.84","12947.22","109.88","1.75","1.67","20180101","12.77","16.32","3.99","2.13","25.23",".16","4.2","5.81","1.16","4.13","20180131","YES"
"The TJX Companies, Inc.","TJX",".77481",".07","1.19749","21.72699","1.26","13.47602","3433.1499","2607.93994","3856.58007","3888.15991","4713.35986","35864.66","19.79599","7.27","6.17719","2.6747","1.66","","30.229","8.14","5148.2998","0","2230.60009","5125.52978","8485.71972","100.05999","4187.24023","327.16","19.45","38.12699","98.83","66.9","86.27","626.93","Retail - Discount Stores","Retail-Wholesale","NYSE","1.81","17.87","54085.07","86.5",".66","1.37","20180101","37.52","55.23","10.6","1.73","21.35","6.41","8.08","19.49","7.91","4.04","20180131","YES"
"Torchmark Corporation","TMK",".01722",".35",".58999","9.37419",".86","164.56335","1064.09997","1454.48999","830.64001","915.16998","1405.56994","4156","2.6775","14.42","",".18226",".06",".19","16.273","51.25","6231.41992","0","1132.19995","14259.90039","870.85998","441.58999","0","625.21997","2.63","9.90989","60.18","74.11","85.67","113.56","Insurance - Life Insurance","Finance","NYSE",".75","14.2","9728.43","93.32",".94","1.49","20180301","9.05","10.88","1.68","1.36","16.64","2.86","5.62","25.17","6.33","5.15","20171231","YES"
"Thermo Fisher Scientific Inc.","TMO",".30349",".11",".6",".7178",".46","10.03956","5808","2225","2429","2429","4462","20918","6.9853","18.03","4.26789",".40799","1.36",".69","40.958","64.93","25413","0","18873","7048","9421","41974","2971","4311","7.35","8.9006","75.35","170.97","211.01","402.32","Medical - Instruments","Medical","NYSE",".32","19.32","84894.23","224.11","1.14","2.5","20180301","9.23","16.09","3.25","1.55","21.31","10.64","14.47","15.08","13.95","9.9","20171231","YES"
"Tapestry, Inc.","TPR","4.21079",".13","1.35","0","3.32","28.33876","822.09997","591","759","787.40002","1000.20001","4488.3","17.04599","13.11","2.8485",".80864","2.66",".51","33.763","10.9","3001.8999","0","1579.5","753.79998","3953.30004","821.29998","469.70001","309.5","10.61","24.52799","35.13","38.88","44.42","287.82","Retail - Apparel and Shoes","Retail-Wholesale","NYSE","3.04","17.1","12784.86","54.64",".39",".54","20180301","15.28","24.12","4.07","1.52","17.56","-.14","-.08","20.83","-10.64","2.53","20170630","YES"
"TripAdvisor, Inc.","TRIP","1.97043","-.01","0","","0","-115.83334","179.16","-19","110","125","236","1556","10.20499","4.35","",".66952","1.84","0","0","10.12","1363","0","230","372","993","900","0","260","2.91","13.82699","99.26","30.06","48.85","137.4","Internet - Commerce","Retail-Wholesale","NSDQ","0","37.47","6712.09","48.99","1.84",".3","20180301","4.33","4.92","4.9","2.71","44.41","13.23","5.14","27.8","-18.98","1.1","20171231","YES"
"T. Rowe Price Group, Inc.","TROW","4.85011",".31","2.27999","10.89099","2.53","23.27572","1504.69995","1497.80004","2505.10009","2505.10009","2648.69995","4793","20.63699","30.15","",".69495","3.87","0","8.475","24.37","5824.3999","0","0","392.29998","2459.3999","665.70001","0","556.70001","20.95","22.849","99.77","68.68","120.63","242.14","Financial - Investment Management","Finance","NSDQ","2.32","16.75","29209.04","120.75","1.21","1.77","20180301","23.64","26.93","4.95","1.55","19","7.55","13.5","32.6","7.72","6.35","20171231","YES"
"The Travelers Companies, Inc.","TRV",".07748",".07","2.82999","9.32779","2.25","-31.78501","7022","2056","2730","3099","8078","28902","3.0313","7.22","",".28189",".39",".3","23.25499","85.03","23731","0","6571","67614","26624","4293","0","21385","2.04","10.069","44.63","115.18","130.72","270.26","Insurance - Property and Casualty","Finance","NYSE","2.2","12.52","35328.56","150","1.26","2.46","20180301","6.93","8.94","1.54","1.67","17.27","2.04","4.62","43.39","-.97","7.57","20171231","YES"
"Tractor Supply Company","TSCO",".23245",".06","1.04999","19.686","1.1","-3.32403","593.42901","422.58999","672.52001","686.36999","852.20001","7256.38","16.826","5.95","3.0848","2.49569","1.96",".54","35.13299","10.6","1418.67004","0","433.67001","849.21002","1655.35998","124.48999","1453.19995","4.76","14.85","26.43499","66.91","49.99","71.67","123.88","Retail - Miscellaneous","Retail-Wholesale","NSDQ","1.51","17.51","8878.25","82.39","1.27",".57","20180301","23.03","31.99","6.76","1.32","20.77","9.07","7.03","22.9","10.79","3.45","20171231","YES"
"Tyson Foods, Inc.","TSN",".33333",".05",".82499","46.852",".97",".33936","2727.3999","1774","2628","2907","3668","38260","7.1139","5.35","10.73799","1.42509","1.56",".73","42.191","33.03","10559","0","9297","4032","6258","15567","3239","1675","7.63","10.27499","43","57.34","68.64","368","Food - Meat Products","Consumer Staples","NYSE","1.75","10.37","25259.52","83.62",".2","1.27","20180301","10.48","19.1","2.08",".94","11.85","1.95","3.74","24.67","23.15","5.79","20170930","YES"
"Total System Services, Inc.","TSS",".67427",".12",".46","4.10629",".99","83.39329","1007.74401","586.17999","617.55999","617.55999","1028.68005","4927.96","9.3648","13.81","",".71784",".97","1.39","59.047","13.14","2240.98999","0","2627.98999","989.09002","1079.23999","3991.20996","0","412.32","9.91","11.17599","86.47","57.62","86.26","182.31","Financial Transaction Services","Business Services","NYSE",".6","19.99","15725.74","90.74","1.13","1.13","20180301","12.78","28.22","6.55","1.37","23.44","22.59","18.17","28.04","21.17","3.68","20171231","YES"
