Company Name,Ticker,ROA (5 Yr Avg),Annual Sales,Net Income ,Pretax Income ,Cash Flow ,Dividend ,Current Assets ,Current Liabilities ,Long Term Debt ,Book Value,Debt/Total Capital,Debt/Equity Ratio,Cash Ratio,Last Qtr EPS,Exchange,Current ROA (TTM),ROI (5 Yr Avg),Sector,Industry,Shares Outstanding ,Market Cap ,Last Close,52 Week High,52 Week Low,12 Mo Trailing EPS,5 Yr. Hist. EPS Growth,5 Yr Historical Sales Growth,P/E (Trailing 12 Months),Current ROE (TTM),Current ROI (TTM),5 Yr Hist. Div. Growth %,S&P 500 - ETF
"E*TRADE Financial Corporation","ETFC",".67115","2366","614","1064","887.54998","0","14706","53733","1901","23.39","21.524",".3",".03355",".64","NSDQ","1.05","4.1276","Finance","Financial - Investment Bank","266.33","14014.51","52.62","55.19","33.22","2.19","29.45","3.52","24.03","10.07","7.44","","YES"
"Eaton Corporation, PLC","ETN","6.07369","20404","2985","3368","2991.59008","2.4","8337","5075","7167","39.24","29.304",".41",".34955","1.29","NYSE","6.53","8.44009","Industrial Products","Manufacturing - Electronics","440.2","35312.84","80.22","87.86","70.44","4.65","2.03","-.75","17.25","12.84","9.02","8.61839","YES"
"Entergy Corporation","ETR","2.57229","11074.48","425.35","967.91998","3378.78198","3.5","3285.33007","5036.20019","14337.26953","44.34","63.643","1.79",".23162",".76","NYSE","2.84","5.16559","Utilities","Utility - Electric Power","180.77","14203.13","78.57","87.42","72.02","7.21","4.15","-.97","10.9","15.79","5.78","1.37279","YES"
"Envision Healthcare Corporation","EVHC","2.90569","12177.5","-228","-30.9","751.20001","0","4744.2998","1395.09997","6263.2998","59.31","47.36",".87","2.37674",".59","NYSE","1.9","3.5703","Medical","Medical - Outpatient and Home Healthcare","120.89","4886.35","40.42","67.75","24.79","2.94","14.48","61.24","13.75","4.62","2.43","","YES"
"Edwards Lifesciences Corporation","EW","14.208","3435.3","583.59997","1034.90002","901.59997","0","2532.10009","1402.90002","438.39999","13.97","12.91499",".15","1.0799",".94","NYSE","15.54","18.45899","Medical","Medical - Instruments","210.02","28613.63","136.24","136.72","89.53","3.8","23.87","13.16","35.85","27.78","21.66","","YES"
"Exelon Corporation","EXC","2.4762","33531","3770","3756","8548.87011","1.30999","11834","10796","32565","33.47","50.33499","1.01",".43071",".55","NYSE","2.14","4.76009","Utilities","Utility - Electric Power","965.03","36362.3","37.68","42.39","33.5","2.59",".08","6.93","14.55","8.35","4.05","-1.7313","YES"
"Expeditors International of Washington, Inc.","EXPD","13.895","6920.95","489.33999","718.59002","499.65499",".83999","2541.44995","1093.10998","0","11.22","0","0","1.03073",".71","NSDQ","14.87","20.90699","Transportation","Transportation - Services","176.54","11208.63","63.49","67.05","52.25","2.49","10.49","1.54","25.5","22.79","22.79","9.4052","YES"
"Expedia, Inc.","EXPE","3.7372","10059.84","377.95999","416.76","1624.04504","1.15999","5539.58007","7878.68994","3749.05004","40.39","38.095",".61",".46365",".84","NSDQ","3.12","7.8768","Retail-Wholesale","Internet - Commerce","151.83","16346.23","107.66","159.5","100.1","4.29","8.83","21.09","25.1","9.66","6.1","20.929","YES"
"Extra Space Storage Inc","EXR","5.07359","1105.01","479.01","502.51","676.48699","3.11999","88.88999","96.08","4554.20996","21.62","62.575","1.67",".8956","1.12","NYSE","6.9","5.2143","Finance","REIT and Equity Trust - Other","126.04","10866.95","86.22","87.86","71.79","4.37","22.9","22.43","19.73","18.87","7.07","23.04","YES"
"Ford Motor Company","F","2.9172","156776","7602","8148","15569",".6","115902","94600","102666","8.79","74.63899","2.94","1.0045",".39","NYSE","2.84","4.69019","Auto-Tires-Trucks","Automotive - Domestic","3973.35","42038.05","10.58","13.23","10.24","1.77","5.36","1.85","5.98","21.71","5.43","10.031","YES"
"Fastenal Company","FAST","20.791","4390.5","578.59997","873.09997","681.70001","1.27999","1935.69995","351","412","7.29","16.422",".2",".66951",".45","NSDQ","19.36","24.93799","Retail-Wholesale","Building Products - Retail","287.65","15898.28","55.27","57.69","39.97","1.93","5.44","6.36","28.64","27.39","22.79","13.75","YES"
"Facebook, Inc.","FB","12.55799","40653","15934","20594","21183","0","48563","3760","0","25.58","0","0","11.36462","2.2","NSDQ","23.73","13.967","Computer and Technology","Internet - Services","2905","524061.97","180.4","193.09","137.17","6.34","86.54","51.49","28.45","26.49","26.49","","YES"
"Fortune Brands Home & Security, Inc.","FBHS","7.20979","5283.3","472.6","634.79998","612.20001",".72","1601.69995","906.79998","1507.59997","17.14","36.693",".58",".51345",".8","NYSE","8.94","9.7445","Industrial Products","Security and Safety Services","151.95","9284.17","61.1","73.13","57.9","3.08","23.76","7.21","19.84","18.73","11.88","15.277","YES"
"Freeport-McMoRan Inc.","FCX","2.83739","16403","1817","2902","3418","0","10779","5038","11703","7.82","50.88499","1.04","1.05498",".51","NYSE","4.59","4.06729","Basic Materials","Mining - Non Ferrous","1447.84","26336.28","18.19","19.99","11.21","1.17","-33.27","-7.32","15.55","16.57","7.43","-60.364","YES"
"FedEx Corporation","FDX","6.92329","60319","2997","4579","6325","1.6","12628","7918","14909","63.66","47.09199","",".57021","3.18","NYSE","6.85","11.345","Transportation","Transportation - Air Freight and Cargo","267.89","64813.21","241.94","274.32","183.56","12.29","18.76","7.63","19.69","20.56","10.69","33.664","YES"
"FirstEnergy Corporation","FE","2.4107","14017","-1724","-829","3110.80004","1.44","3108","4077","21115","8.82","84.32499","5.38",".24307",".71","NYSE","3.17","4.1185","Utilities","Utility - Electric Power","475.59","15518.5","32.63","35.05","28.16","3.06","-1.65","-1.6","10.66","24.02","5.3","-7.8338","YES"
"F5 Networks, Inc.","FFIV","15.581","2090.04","420.76","575.51","478.99798","0","1459.30004","934.59997","0","19.84","0","0","1.21715","2.26","NSDQ","17.83","26.87599","Computer and Technology","Internet - Software","61.84","9328.62","150.84","151.03","115.56","8.68","16.27","8.88","17.38","35.98","35.98","","YES"
"Fidelity National Information Services, Inc.","FIS","5.57","9123","1319","1036","2893","1.15999","3606","3923","7718","32.78","41.35699",".71",".234","1.36","NYSE","6","7.00799","Business Services","Financial Transaction Services","331.18","32982.14","99.59","102.88","79.13","4.42","11.4","12.1","22.53","14.46","7.79","6.2768","YES"
"Fiserv, Inc.","FISV","9.5248","5696","1246","1358","1536.19995","0","1975","1938","4897","13.1","64.19799","1.79",".50464","1.41","NSDQ","11.06","12.618","Business Services","Financial Transaction Services","206.61","29943.68","144.93","146.19","115.19","5.12","14.45","4.64","28.31","44.58","15.21","","YES"
"Fifth Third Bancorp","FITB","1.10829","7713","2194","2771","2427.46411",".6","97395","108760","14904","21.7","47.63299",".99",".05635",".52","NSDQ","1.03","5.401","Finance","Banks - Major Regional","693.8","23145.34","33.36","33.76","23.62","1.84","2.34","1.53","18.13","9.65","4.78","5.5696","YES"
"Foot Locker, Inc.","FL","14.63","7782","284","578","699","1.24","2551","616","125","20.78","4.7277",".05","","1.26","NYSE","13.49","19.808","Retail-Wholesale","Retail - Apparel and Shoes","121.21","5045.76","41.63","77.35","29.24","4.11","13.73","4.88","10.13","19.32","18.46","11.63199","YES"
"FLIR Systems, Inc.","FLIR","9.10229","1800.43","107.22","279.05999","333.582",".6","1387.20996","394.92999","420.67999","13.24","18.65399",".23","1.69232",".58","NSDQ","9.63","11.00699","Aerospace","Electronics - Military","138.92","6902.92","49.69","52.8","34.1","1.88","4.72","4.51","26.43","14.54","11.6","12.28499","YES"
"Fluor Corporation","FLR","7.1138","19521","191.36999","386.44","494.32998",".83999","5601.25","3574.16992","1591.58996","24.97","31.30599",".46",".71064",".7","NYSE","4.03","13.574","Construction","Engineering - R and D Services","139.91","7983.11","57.06","61.61","37.23","2.66","-8.97","-9.19","21.45","10.95","7.5","5.3736","YES"
"Flowserve Corporation","FLS","8.1792","3660.83","2.65","263","296.99099",".56999","2558.73999","1242.90002","1499.65002","12.79","47.29899",".9",".65794",".5","NYSE","3.69","13.23099","Industrial Products","Manufacturing - General Industrial ","130.8","5681.86","43.44","51.14","37.58","1.34","-15.9","-6.33","32.42","10.36","5.52","7.8228","YES"
"FMC Corporation","FMC","8.0171","2878.6","535.79998","180.8","481.29998",".66","3652.69995","2209.3999","2993","20.16","52.50799","1.11",".27912","1.1","NYSE","5.4","14.177","Basic Materials","Chemical - Diversified ","134.33","10844.51","80.73","98.17","58.31","2.71","-10.35","-7.33","29.79","16.82","8.86","4.89589","YES"
"Twenty-First Century Fox, Inc.","FOX","6.72709","28500","2952","4689","4197.0498",".36","16286","7238","19456","10.6","50.30899",".98",".92677",".42","NSDQ","6.49","9.22379","Consumer Discretionary","Film and Television Production and Distribution","1852.53","66968.89","36.15","38.4","24.43","1.81","6.74","-4.5","19.97","19.01","8.88","15.07999","YES"
"Twenty-First Century Fox, Inc.","FOXA","6.7163","28500","2952","4689","4197.0498",".36","16286","7238","19456","10.6","50.30899",".98",".92677",".42","NSDQ","6.48","9.2089","Consumer Discretionary","Film and Television Production and Distribution","1852.53","67895.16","36.65","38.81","24.97","1.81","6.74","-4.5","20.25","19.01","8.88","15.07999","YES"
"Federal Realty Investment Trust","FRT","3.848","857.35","289.91","219.94","505.96398","3.96","255.49","196.33","2793.26","30.76","55.097","1.25","1.30132","1.47","NYSE","4.52","4.87249","Finance","REIT and Equity Trust - Retail","73.19","8527.68","116.51","137.48","108.11","5.91","6.71","7.36","19.71","12.68","5.34","7.3312","YES"
"TechnipFMC","FTI","5.97319","15056.9","113.3","679.70001","1218.19995",".12999","13324.2998","10176.5996","3777.8999","28.74","21.981",".28","1.04181",".2","NYSE","2.79","10.57199","Oils-Energy","Oil and Gas - Field Services","466.59","13904.44","29.8","34.8","24.96","1.75","","4.34","17.03","6.05","4.85","","YES"
"Fortive Corporation","FTV","23.02","6656","1044.5","1284.19995","1195.59997",".28","2936.80004","1602.30004","4056.19995","10.96","51.57699","1.07",".75678",".82","NYSE","11.16","31.648","Computer and Technology","Electronics - Testing Equipment","348.03","25844.83","74.26","77.96","58.02","2.9","","","25.61","30.54","14.8","","YES"
"General Dynamics Corporation","GD","8.22049","30973","2912","4077","3472","3.27999","18328","13099","3980","38.51","25.819",".35",".31819","2.5","NYSE","8.85","18.53199","Aerospace","Aerospace - Defense","296.93","66703.16","224.64","226.78","185.49","9.95","11.25","-.06","22.58","27.22","20.74","10.73299","YES"
"General Electric Company","GE","2.7262","122092","-5786","-8791","14684.50976",".83999","144993","77400","108575","9.45","57.72999","1.32","1.05936",".27","NYSE","2.6","5.22679","Conglomerates","Diversified Operations","8682.58","125202.75","14.42","30.28","14.02","1.05","-5.21","-5.15","13.73","11.6","5",".46542","YES"
"General Growth Properties, Inc.","GGP","2.99769","2327.86","657.33001","491.22","1384.41394",".87999","916.23999","919.42999","13038.66015","9.05","59.88499","1.51",".63317",".48","NYSE","2.88","3.1284","Finance","REIT and Equity Trust - Retail","957.02","20432.32","21.35","24.4","19.01","1.61","9.29","-2.66","13.26","7.87","3.01","15.56","YES"
"Gilead Sciences, Inc.","GILD","29.44499","26107","4628","13529","12571","2.07999","31823","11635","31353","15.69","60.464","1.53","2.33528","1.78","NSDQ","17.85","37.76399","Medical","Medical - Biomedical and Genetics","1309.97","102072.7","77.92","88.8","64.12","8.84","49.97","27.72","8.81","50.29","22.35","41.73699","YES"
"General Mills, Inc.","GIS","7.9675","15619.8","1657.5","2271.30004","2446.47998","1.91999","4061.3999","5330.7998","7642.8999","8.07","64.193","",".21529",".82","NYSE","7.95","13.977","Consumer Staples","Food - Miscellaneous","569.04","28804.99","50.62","61.16","50.1","2.98","2.82","-3.4","16.99","38.89","14.3","8.17609","YES"
"Corning Incorporated","GLW","6.5138","10116","-497","1657","2914",".62","8827","3209","4749","15.5","23.14399",".35","1.65409",".49","NYSE","6.29","7.96799","Computer and Technology","Communication - Components","857.45","24763.25","28.88","34.85","26.32","1.73","6.4","4.62","16.69","11.63","8.23","12.666","YES"
"General Motors Company","GM","4.0472","145588","-3864","9731","22138","1.51999","68744","76890","67254","25.49","65.009","1.86",".38231","1.65","NYSE","4.3","10.13099","Auto-Tires-Trucks","Automotive - Domestic","1403.04","52950.84","37.74","46.48","32.42","6.56","25.89",".98","5.75","22.86","9.29","8.2573","YES"
"Alphabet Inc.","GOOG","11.80399","110855","12662","27193","29434","0","124308","24183","3969","219.5","2.5366",".03","4.33585","9.7","NSDQ","12.2","14.3","Computer and Technology","Internet - Services","694.78","757959.69","1090.9301","1175.84","814.43","32.01","-3.31","15.48","34.08","14.94","14.56","","YES"
"Alphabet Inc.","GOOGL","11.80399","110855","12662","27193","29434","0","124308","24183","3969","219.5","2.5366",".03","4.33585","9.7","NSDQ","12.2","14.3","Computer and Technology","Internet - Services","694.78","760620.69","1094.76","1187.56","835.14","32.01","14.1","15.48","34.2","14.94","14.56","","YES"
"Genuine Parts Company","GPC","8.43099","16308.8","616.75","1009.26","853.30401","2.7","7312.89013","5474.02001","2550.02001","23.63","42.4",".74",".20464","1.12","NYSE","6.77","18.78599","Auto-Tires-Trucks","Automotive - Replacement Parts","146.74","13467.3","91.78","107.58","80.48","4.65","1.75","3.52","19.74","20.48","15.59","5.83879","YES"
"Global Payments Inc.","GPN","9.8743","3975.16","468.42001","392.67999","1120.21997",".04329","4303.56982","3815.59008","4559.3999","24.92","53.485","1.15","1.04877","1.07","NYSE","5.36","16.62199","Business Services","Financial Transaction Services","159.21","18106.49","113.73","114.73","77.5","4.01","17.89","11.27","28.36","17.94","7.79","1.2948","YES"
"Gap, Inc. (The)","GPS","13.717","15855","848","1424","1341",".92","4568","2461","1249","8.08","28.43199",".4","",".61","NYSE","10.9","24.992","Retail-Wholesale","Retail - Apparel and Shoes","389","13261.01","34.09","35.48","21.2","2.13","-7.3","-1.12","16","28.13","19.85","9.33839","YES"
"Garmin Ltd.","GRMN","11.579","3087","694.95001","682.28997","641.57897","2.03999","2363.91992","828.65002","0","20.28","0","0","1.51499",".79","NSDQ","11.55","15.52799","Computer and Technology","Electronics - Miscellaneous Products","198.08","11805.41","59.6","65.21","48.69","2.94","1.08","3.3","20.27","15.16","15.16","3.31459","YES"
"The Goldman Sachs Group, Inc.","GS",".92384","32073","4286","11132","9835.82519","2.9","572442","616846","217687","186.61","72.579","3.09",".79056","5.68","NYSE",".95","3.20479","Finance","Financial - Investment Bank","379.89","99955.87","263.12","272.48","211.26","19.8","3.66","-2.9","13.29","11.66","2.94","8.78619","YES"
"The Goodyear Tire & Rubber Company","GT","4.81699","15377","346","878","1592",".43999","6079","5025","5076","19.69","51.138","1.05",".25213",".99","NSDQ","4.52","8.78009","Auto-Tires-Trucks","Rubber - Tires","240.33","6767.73","28.16","36.88","28.14","3.14","12.25","-6.96","8.97","15.7","7.59","25.01199","YES"
"W.W. Grainger, Inc.","GWW","14.187","10424.86","585.72998","935.32","933.67999","5.05999","3205.97998","1506.66003","2248.03002","32.45","55.15599","1.23",".29974","2.94","NYSE","11.51","20.263","Industrial Products","Industrial Services","56.1","14577.87","259.83","286.44","156.25","11.46","-.12","2.54","22.67","35.76","16.61","8.86979","YES"
"Halliburton Company","HAL","6.16069","20620","-463","682","2618",".72","10777","4862","10430","9.57","55.541","1.25",".68798",".53","NYSE","4.2","8.23279","Oils-Energy","Oil and Gas - Field Services","874.91","40473.33","46.26","56.83","38.66","1.22","-36.2","-13.62","37.92","11.95","5.44","8.09749","YES"
"Hasbro, Inc.","HAS","10.196","5209.78","396.6","786.15002","900.74902","2.22","3633.91992","1251.68994","1693.59997","14.69","48.06499",".93","1.43425","2.3","NSDQ","13.32","15.40699","Consumer Discretionary","Toys - Games - Hobbies","124.18","12020.4","96.8","115.95","88.69","5.35","14.57","6.1","18.09","36.36","20.49","9.16759","YES"
"Huntington Bancshares Incorporated","HBAN","1.06159","4740","1186","1394","1575",".34999","73718","84165","9206","9.09","45.984",".94",".01963",".26","NSDQ","1.14","6.2479","Finance","Banks - Midwest","1102.34","17648.4","16.01","16.34","12.18",".98","6.48","10.64","16.34","12.12","5.89","16.98399","YES"
"Hanesbrands Inc.","HBI","10.83899","6471.41","61.88999","537.27001","847.55297",".6","3386.37011","1778.73999","3702.05004","1.88","84.36299","5.4",".34185",".52","NYSE","10.04","16.954","Consumer Discretionary","Textile - Apparel","360.24","7309.33","20.29","25.67","19.08","1.94","19.59","8.61","10.46","72.3","15.22","28.121","YES"
"HCA Holdings, Inc.","HCA","6.98199","47653","2216","4381","4615.61083","0","9977","6158","32858","-14.11","","-6.58",".30902","2.12","NYSE","7.21","9.6328","Medical","Medical - Hospital","349.9","35378.77","101.11","102.24","74.22","6.82","20.23","6.96","14.83","-49.49","9.4","","YES"
"HCP, Inc.","HCP","2.7876","1848.38","414.16","410.39999","976.56298","1.48","436.26","1418.81005","6863.39013","11.93","55.09099","1.23",".27877",".48","NYSE","2.9","2.9289","Finance","REIT and Equity Trust - Other","469.44","10449.81","22.26","33.39","21.64","1.95","-5.81","1.78","11.41","6.99","3.16","-7.3903","YES"
"Home Depot, Inc. (The)","HD","15.63899","100904","8630","13698","10893.28027","3.55999","18933","16194","24267","1.25","94.347","16.69",".26139","1.69","NYSE","19.57","25.214","Retail-Wholesale","Building Products - Retail","1167.75","212226.72","181.74","207.23","144.58","7.45","18.89","6.1","24.4","306.73","33.05","23.197","YES"
"Hess Corporation","HES","-.30431","5405","-4074","-5778","1482","1","6157","2435","6397","38.88","34.116",".52","2.01273","-1.01","NYSE","-5.31","-.08704","Oils-Energy","Oil and Gas - Integrated - United States","315.05","15261.2","48.44","54.72","38.09","-4.61","","-33.87","","-9.82","-6.72","10.43","YES"
"Hartford Financial Services Group, Inc. (The)","HIG",".608","16974","-3131","723","1447",".93999","10421","39458","4678","37.83","25.743",".35",".06209",".81","NYSE",".57","6.28429","Finance","Insurance - Multi line","356.98","19255.58","53.94","59.11","47.26","3.45","3.87","-8.51","15.64","7.89","6.09","17.54","YES"
"Huntington Ingalls Industries, Inc.","HII","6.2739","7441","479","772","767","2.51999","2195","1391","1279","38.84","42.11399",".73",".59237","3.11","NYSE","8.39","13.16199","Aerospace","Aerospace - Defense","44.79","11647.88","260.08","270.88","185.22","11.46","27.52","1.85","22.69","31.01","17.64","51.28599","YES"
"Hilton Worldwide Holdings Inc.","HLT","3.2177","9140","1259","930","1015",".6","1986","2208","6556","6.49","75.95899","3.16",".43115",".54","NYSE","4.58","5.39769","Consumer Discretionary","Hotels and Motels","316.12","24726.76","78.22","87.69","55.84","2","9.38","1.45","39.11","39.37","7.94","","YES"
"Harley-Davidson, Inc.","HOG","7.31559","4915.03","521.75","863.83001","917.39898","1.46","3884.73999","3158.16992","4587.25","10.96","71.32499","2.49",".28842",".54","NYSE","5.92","10.47599","Auto-Tires-Trucks","Automotive - Domestic","168.41","7617.35","45.23","62.94","44.2","3.47","1.68","-1.37","13.03","31.23","8.97","13.83899","YES"
"Hologic, Inc.","HOLX","5.9221","3058.8","755.5","1230.5","1028.09997","0","1478.59997","1865.5","2194.80004","11.05","46.53499",".87",".31685",".55","NSDQ","7.11","8.56319","Medical","Medical - Instruments","276.53","10685.08","38.64","46.49","35.9","2.05","9.22","5.64","18.85","20.07","11.07","","YES"
"Honeywell International Inc.","HON","9.57769","40534","1655","6902","6607.33691","2.74","26002","18861","12573","23.04","41.90299",".72",".66396","1.85","NYSE","9.59","18.18199","Conglomerates","Diversified Operations","752","111679.8","148.51","164.99","122.5","7.06","9.61",".59","21.03","27.27","17.21","13.39","YES"
"Helmerich & Payne, Inc.","HP","4.6545","1804.74","-128.21001","-184.59","451.13198","2.79999","1235.26","344.38","492.89999","42.17","9.70119",".11","1.80321","-.02","NYSE","-1.27","6.412","Oils-Energy","Oil and Gas - Drilling","108.87","7251.62","66.61","74.33","42.34","-.8","-52.06","-18.48","","-1.9","-1.7","22.377","YES"
"Hewlett Packard Enterprise Company","HPE","5.2719","28871","344","272","4659",".25999","21444","18924","10182","15.31","29.50399",".42",".66994",".34","NYSE","2.99","8.78699","Computer and Technology","Computer - Integrated Systems","1567","29741.66","18.98","23.7","13.1","1.19","","","15.95","7.4","5.13","","YES"
"HP Inc.","HPQ","7.69379","52056","2526","3276","3169",".53079","22318","22412","6747","-1.67","","-2.31",".54069",".48","NYSE","9.23","44.68899","Computer and Technology","Computer - Mini computers","1641.37","38884.15","23.69","23.91","17.15","1.75","-19.99","-19.89","13.54","-82.3","98.27","-9.6036","YES"
"H&R Block, Inc.","HRB","13.45199","3036.31","408.94","629.28002","603.07702",".87999","1346.03002","939.28002","1493.01","-1.97","","","1.25975","-.71","NYSE","17.97","25.58699","Consumer Discretionary","Conusmer Services - Miscellaneous","209.07","5393.98","25.8","31.51","20.84","1.94","7.6","1.57","13.3","-110.06","29.34","3.40669","YES"
"Hormel Foods Corporation","HRL","12.45899","9167.52","846.72998","1278.64001","977.885",".68","2026.52001","1058.20996","250","9.73","10.80799",".12",".43924",".44","NYSE","12.29","17.186","Consumer Staples","Food - Meat Products","529.59","17407.46","32.87","37.68","30.15","1.58","14.47","1.57","20.8","17.44","16.29","18.433","YES"
"Harris Corporation","HRS","8.4533","5900","553","905","1000","2.11999","2073","1926","3396","25.12","53.109","1.13",".30373","1.67","NYSE","7.04","12.805","Computer and Technology","Wireless Equipment","118.73","18315.26","154.26","159.54","107.18","5.92","4.19","8.41","26.06","24.49","11.19","8.6918","YES"
"Henry Schein, Inc.","HSIC","8.0016","12461.54","406.29","822.84002","763.15197","0","4033.26","2776.20996","907.75","18","38.11899",".32",".22671",".97","NSDQ","7.8","12.36999","Medical","Medical - Dental Supplies","153.69","10149.97","66.04","93.29","63.44","3.6","10.57","6.48","12.34","19.7","12.65","","YES"
"Host Hotels & Resorts, Inc.","HST","4.28389","5387","564","651","1322",".8","993","283","3954","9.46","37.04899",".56","3.22968",".42","NYSE","4.79","4.49189","Finance","REIT and Equity Trust - Other","734.11","13302.09","18.12","21.3","17.38","1.68","6.8","-.25","10.79","7.97","5.03","13.843","YES"
"Hershey Company (The)","HSY","16.846","7515.43","782.97998","1110.66003","1487.50598","2.548","2001.91003","2076.54003","2061.02001","4.42","68.871","2.21",".31823","1.03","NYSE","18.56","30.69599","Consumer Staples","Food - Confectionery","210.48","20932.43","99.45","115.96","96.95","4.76","7.47","1.8","20.89","116.74","33.08","9.133","YES"
"Humana Inc.","HUM","5.42799","53767","2448","4020","2190.51611","1.88999","17402","9406","4770","68.89","32.644",".48","1.7593","2.06","NYSE","5.49","9.96249","Medical","Medical - HMOs","137.68","37256","270.59","291.23","203.48","11.69","6.32","7.85","23.15","16.13","11.35","8.6223","YES"
"International Business Machines Corporation","IBM","13.21","79139","5753","11400","17475","5.9","49735","37363","39837","19.15","69.207","2.25","1.02355","5.18","NYSE","10.67","31.44","Computer and Technology","Computer - Integrated Systems","921.17","144577.3","156.95","180.47","139.7","13.83","-5.02","-6.67","11.35","69.48","22.73","12.753","YES"
"Intercontinental Exchange Inc.","ICE","1.8026","5834","2514","2517","2287",".8","53562","54171","4267","28.98","20.10899",".25",".97208",".73","NYSE","2.21","8.7149","Finance","Securities and Exchanges","582.29","42321.14","72.68","75.83","58.07","2.94","17.15","38.98","24.72","10.83","8.59","14.09899","YES"
"IDEXX Laboratories, Inc.","IDXX","15.36999","1969.06","263.14001","381.04998","377.31399","0","971.97998","1004.55999","606.07","-.62","","-11.26",".57047",".77","NSDQ","17.19","36.89899","Medical","Medical - Instruments","87.12","16652.65","191.14","193.95","146.88","3.16","14.06","8.92","60.49","-432.19","52.87","","YES"
"Internationa Flavors & Fragrances, Inc.","IFF","11.225","3398.72","295.66","537.03997","586.221","2.66","1896.54003","768.76","1632.18005","21.39","49.13999",".97",".75893","1.4","NYSE","10.41","15.928","Basic Materials","Chemical - Specialty","78.93","10937","138.57","156.87","123.66","5.89","6.75","2.61","23.53","27.69","14.58","16.94899","YES"
"Illumina, Inc.","ILMN","11.41399","2752","726","1043","777","0","2980","746","1182","18.83","33.775",".43","2.99731","1.44","NSDQ","11.94","14.86699","Medical","Medical - Biomedical and Genetics","147","33939.36","230.88","245.19","159.46","4.01","20.4","18.29","57.58","21.71","14.81","","YES"
"Incyte Corporation","INCY","-4.6495","1536.22","-313.14002","-312.29001","183.503","0","1504.84997","375.39001","16.6","7.73","1.00779",".01","3.28213",".02","NSDQ","-8.05","-7.20301","Medical","Medical - Biomedical and Genetics","211.66","19255.07","90.97","152.66","83.09","-.83","","42.2","","-11.85","-11.62","","YES"
"IHS Markit Ltd.","INFO","7.8685","3599.7","416.89999","372.1","1190.05895","0","1015","1906.09997","3617.30004","20.07","31.238","",".15193",".52","NSDQ","4.92","11.366","Business Services","Business - Information Services","424.71","20135.61","47.41","48.87","40.12","2.06","","48.81","23.01","8.98","6.23","","YES"
"Intel Corporation","INTC","12.149","62761","9601","20352","24882","1.07749","29500","17421","25037","14.75","26.61899",".36",".97066","1.08","NSDQ","13.73","15.72599","Computer and Technology","Semiconductor - General","4668","232233","49.75","50.08","33.46","3.47","12.77","3.83","14.34","24.33","17.8","5.01639","YES"
"Intuit Inc.","INTU","17.17","5177","971","1367","1218.79504","1.36","1415","1944","438","4.52","26.30599",".36",".64248",".35","NSDQ","21.8","35.693","Computer and Technology","Computer - Software","256.11","43584.99","170.18","173.57","115.62","4.56","6.97","4.17","37.32","72.52","54.98","20.02499","YES"
"International Paper Company","IP","4.37949","21743","2144","848","2879","1.86249","8277","5102","10846","15.84","62.38","1.66",".52469","1.27","NYSE","4.44","9.1147","Basic Materials","Paper and Related Products","412.94","24338.71","58.94","65.08","49.64","3.6","3.87","-7.32","16.37","29.05","9.35","10.66499","YES"
"Interpublic Group of Companies, Inc. (The)","IPG","3.8777","7882.4","579","876","804.59997",".72","7464.10009","7678.20019","1285.59997","5.75","40.75",".58",".14739",".79","NYSE","4.69","12.05799","Business Services","Advertising and Marketing","384.47","9069.64","23.59","25.57","18.45","1.42","16.29","2.65","16.61","27.07","15.58","23.673","YES"
"Quintiles Transitional Holdings Inc.","IQV","9.9575","9739","1309","331","2033.09997","0","3450","2904","10122","40.19","54.77299","1.21",".48553","1.4","NYSE","4.65","19.71999","Business Services","Technology Services","208.27","20762.45","99.69","108.56","77.47","4.69","21.52","13.76","21.26","13.03","6","","YES"
"Ingersoll-Rand PLC (Ireland)","IR","5.7532","14197.6","1302.59997","1417.90002","1516.09997","1.7","6119.10009","4828","2957","28.84","29.093",".41",".43212","1.02","NYSE","6.56","10.333","Industrial Products","Manufacturing - General Industrial ","249.89","21545.46","86.22","96.6","78.56","4.52","7.47",".05","19.08","16.91","11.39","18.284","YES"
"Iron Mountain Incorporated","IRM","3.35619","3845.58","183.82","216.1","850.53198","2.23749","1950.31005","1330.17004","6896.97021","8.11","75.247","3",".83791",".53","NYSE","3","4.12839","Finance","REIT and Equity Trust - Other","285.31","9158.5","32.1","41.44","31.05","2.11","","5.11","15.21","15.4","3.62","19.84799","YES"
"Intuitive Surgical, Inc.","ISRG","14.505","3128.9","660","1096.5","957.59997","0","2810.8999","704.09997","0","42.19","0","0","2.92259","2.54","NSDQ","17.02","16.56699","Medical","Medical - Instruments","113.06","47966.59","424.25","449.81","242.7","8.99","8.39","7.24","25.95","19.93","19.93","","YES"
"Gartner, Inc.","IT","10.043","3311.49","3.26999","-127.81","552.86401","0","2588.60009","2822.58007","2899.12011","10.83","74.66999","2.95",".50016","1.17","NYSE","4.83","37","Business Services","Consulting Services","90.83","10843.64","119.38","142.14","103.11","3.3","12.95","13.22","36.18","42.47","8.91","","YES"
"Illinois Tool Works Inc.","ITW","11.28199","14314","1687","3270","2748","2.85999","7278","3053","7478","13.4","61.971","1.63","1.12348","1.7","NYSE","14.17","15.37399","Industrial Products","Manufacturing - General Industrial ","341.55","54538.01","159.68","178.88","130.17","6.61","11.82","-3.87","24.16","48.42","18.91","15.82999","YES"
